LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
138.7282922,-34.8953305,track in gully,MOUNT STAINBANK,"Copper, Silver, Gold, Limestone, Lead",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7158652,-34.9253235,treed gully,NORTON SUMMIT,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.9006542,-34.6418905,road,LYNDOCH VALLEY,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Skillogalee Dolomite
138.6015242,-34.9652425,trees,UNLEY PARK,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.7490172,-34.9539345,qz blow?,URAIDLA,"Gold, Tin",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Basket Range Sandstone
135.098725,-31.1024613,,GOLDEN STAIRS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
134.0175461,-29.5853993,near hole 96gbrc269,GOLF BORE,Gold,Locally Significant,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Archaean rocks
134.562203,-30.6953933,,GOVERNMENT,Gold,Low Significance,GAWLER CRATON,quartz vein,Paxton Granite
138.8243032,-34.7002165,shaft,GODDARDS AMALGAMATED,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
134.544302,-30.7062123,,WARRIGAL SOUTH,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Tarcoola Formation
134.997102,-30.8654763,,WILGENA ENTERPRISE,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Kenella Gneiss
135.071881,-31.0876323,,YARRAWONGA,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
138.8929242,-34.7454185,trench?,LYGIZOS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation
138.8539092,-34.7056545,,MALCOLM CREEK,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.8218102,-34.6505665,,MALCOLMS BAROSSA,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.8532552,-34.7225025,N end cleared area in creek,MARY GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.8175172,-34.6572255,banks of small tributary ck,MCKINLAYS GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8361272,-34.6564715,workings?,MCROBIES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8701932,-34.6836715,track,MELVILLES,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Miocene-Pliocene unit 2,
138.8212252,-34.6648195,main shaft,MENZIES BAROSSA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 1,Barossa Complex
134.994941,-30.8669603,,HENDERSON,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Mulgathing Complex
135.112619,-31.0882913,workings?,HARRYS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
138.7506342,-34.8991895,creek bed,MORIALTA ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
134.996385,-30.8663093,,WARBURTON,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Kenella Gneiss
135.047928,-31.0987633,workings,LADY PAULINE,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
135.1230819,-31.0763363,imm N of Fabian 3,COLLINS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
139.0857422,-34.6227115,,EDEN VALLEY,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Delamerian igneous unit 4
139.0518812,-34.5732895,battery area,GOLDEN GATE,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Carrickalinga Head Formation
135.098672,-31.0916063,,LINGA LONGA,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
135.1162879,-31.0933063,workings?,LOST,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
138.7532615,-30.6969214,workings?,PEER MAHOMETS,"Copper, Silver, Gold",Low Significance,ADELAIDE GEOSYNCLINE,deep weathering,Bunyeroo Formation
138.8243175,-30.7161665,workings?,ANGEPENA TREASURE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
138.9727012,-34.7754675,,BENNETTS ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.9954492,-34.7877135,,BLUMBERG CENTRAL,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein unit 4,Kanmantoo Group
