DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
TRURO GOSSAN NORTH,"Zinc, Silver, Lead",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Cooalinga Sandstone Member,Karinya Shale,139.1877902,-34.4236535,near hole DD97TR 29
MALABENA NORTH,"Zinc, Lead",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Cooalinga Sandstone Member,Karinya Shale,139.1894972,-34.3402965,
DEEP CREEK NORTH,"Sandstone, Zinc",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Cooalinga Sandstone Member,Karinya Shale,139.1764832,-34.1788425,
MOUNT KARINYA,Zinc,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Tapanappa Formation,,139.2119412,-34.2174515,KM1
SATISFACTION BORE,Zinc,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Ealbara Rhyolite,134.2421221,-30.2229453,near CAR 029
LORENZO,"Copper, Gold, Zinc",Low Significance,CURNAMONA PROVINCE,Portia Formation,Ethiudna Subgroup,140.4462702,-31.4742785,near hole BEN0862
POND WELLS,"Zinc, Silver, Copper, Lead",Low Significance,ADELAIDE GEOSYNCLINE,Tapley Hill Formation,Tapley Hill Formation,137.3396646,-31.6194014,near hole PRL 7
NO.17 BORE,"Zinc, Silver, Molybdenum, Lead",Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),skarn,Archaean-Palaeoproterozoic rocks,134.664852,-30.3836743,
MARINER,Zinc,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),Palaeoproterozoic rocks,,134.712311,-30.3802523,near MRDH002
MERINO,"Zinc, Molybdenum, Topaz",Low Significance,GAWLER CRATON,hydrothermal alteration,Hiltaba Granite,135.2852489,-30.5424333,near hole MER1
VIPER,"Zinc, Silver, Copper, Lead",Locally Significant,COULTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Gawler Range Volcanic Complex,136.4161977,-32.6631664,
WILNUROONA,"Zinc, Silver, Lead",Low Significance,ARROWIE BASIN (ADELAIDE GEOSYNCLINE),Mernmerna Formation,Mernmerna Formation,139.2173454,-30.9981295,near hole PWP 1
WILGENA HILL SW,Zinc,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),Tarcoola Formation,,134.706542,-30.7117903,hole SWWHRC002
HARRIOT HILL,Zinc,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Kanmantoo Group,,139.0788081,-35.2316185,near hole KR9207
BRINKLEY,"Zinc, Copper, Lead",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Kanmantoo Group,,139.1756631,-35.1997585,hole KR9306
WARRUNGADINNA,"Zinc, Graphite",Low Significance,YOOLPERLUNNA INLIER,Neoproterozoic rocks,,134.1912412,-26.8808113,hole LMD001A
