DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
KIANA,"Limestone, Copper, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hall Bay Volcanics,135.4016848,-34.1168154,pit
BLACKBURROW,Zinc,Low Significance,COULTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hall Bay Volcanics,135.3599408,-34.0490994,near MHAG02-007
RELIANCE,"Zinc, Silver, Lead",Locally Significant,ARROWIE BASIN (ADELAIDE GEOSYNCLINE),Wilkawillina Limestone,Wilkawillina Limestone,138.4091895,-30.6363044,end of loop in track
STURT RIVER,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Sturt Tillite,138.5891252,-35.0408315,near hole SRE1
AROONA,"Zinc, Lead",Locally Significant,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Woodendinna Dolomite,138.3670595,-30.6013644,mine
SHERLOCK,"Zinc, Copper, Lead",Low Significance,PADTHAWAY RIDGE (DELAMERIAN OROGEN),Kanmantoo Group,Moralana Supergroup unit 8,139.762176,-35.3456515,near hole SHR 36
CRACKER,"Lead, Silver, Zinc",Low Significance,COULTA SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.4225967,-32.6367214,near MDAC 27
BALLARA SYNCLINE,Zinc,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Broken Hill Group,Broken Hill Group,140.7311311,-32.3494146,near hole MCD-3/94
LAWSON,Zinc,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Willyama Complex,Willyama Supergroup,140.8826461,-32.1279896,near hole DD96MN 33
WODALLA DAM,"Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.3594547,-32.7610814,near RAM 86
OXYS DAM,"Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.1336407,-32.8087884,near RAM 105
