DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
ROCK VALLEY CREEK,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Warrow Quartzite,Warrow Quartzite,135.8780097,-34.4527594
CAMPOONA SHAFT,"Graphite, Uranium",Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),Mangalo Schist,Mangalo Schist,136.4790137,-33.5278714
SIVIOUR,Graphite,Significant to Australia,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,136.4282836,-33.9180094
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
KOPPIO,Graphite,Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),Middleback Subgroup,Middleback Subgroup,135.9079997,-34.4272194
ULEY,Graphite,Locally Significant,GAWLER CRATON,Middleback Subgroup,Middleback Subgroup,135.7019497,-34.7991864
MANNEQUIN,"Silver, Graphite, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.4499597,-32.6412784
LACROMA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.2951147,-33.2829044
CAMPOONA CENTRAL,Graphite,Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),Mangalo Schist,,136.4654777,-33.5488644
SLEAFORD BAY,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7162917,-34.8647954
OAKDALE,"Graphite, Zinc",Locally Significant,COULTA SUBDOMAIN (GAWLER CRATON),Hall Bay Volcanics,Hall Bay Volcanics,135.5131868,-33.8036024
BOSOM GULLY,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Katunga Dolomite,,135.9879637,-34.3511104
IRONSTONE,"Graphite, Silver",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,135.7930948,-32.6249344
BOARDS,"Copper, Graphite, Uranium",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Lower Middleback Jaspilite,136.7366566,-33.6393234
CORNER,Graphite,Low Significance,GAWLER CRATON,hydrothermal alteration,Hutchison Group,135.7011877,-34.8102164
KOOKABURRA GULLY,Graphite,Significant to SA,CLEVE SUBDOMAIN (GAWLER CRATON),Katunga Dolomite,Warrow Quartzite,135.9063317,-34.4040364
YELTANA,Graphite,Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,136.2755297,-32.8023724
ULEY 2,Graphite,Significant to SA,,,,135.7022222,-34.8022806
WARRUNGADINNA,"Zinc, Graphite",Low Significance,YOOLPERLUNNA INLIER,Neoproterozoic rocks,,134.1912412,-26.8808113
