POTENTIAL,ProductCat,COMMODITY,DEPOSIT_NA,geometry
2,METALLIC MINERALS,Gold,Nantawarra Diggings,"POLYGON ((138.19606727400003 -34.05175981299993, 138.19674741200004 -34.051300872999946, 138.19681439800001 -34.05070932199993, 138.19639762300005 -34.05038350099994, 138.19583975900002 -34.05001491999997, 138.19518046000007 -34.04984171299998, 138.19428123500006 -34.04974209899996, 138.1936960270001 -34.05020319499994, 138.19353148400012 -34.050871590999975, 138.19389036300004 -34.05151240799995, 138.19506788800004 -34.05181607199995, 138.19606727400003 -34.05175981299993))"
2,METALLIC MINERALS,Copper,,"POLYGON ((138.93299735800008 -34.34114372999994, 138.93250762900004 -34.33800028099995, 138.9311865200001 -34.33493744499998, 138.9299385050001 -34.33245497499996, 138.9283292 -34.33047313399993, 138.92576583700009 -34.32825792899996, 138.92223781300004 -34.326243482999985, 138.9196479420001 -34.32511360099994, 138.91646191900008 -34.32339437599995, 138.91300541600003 -34.32203242399993, 138.90898447400002 -34.32165884699998, 138.90877588500007 -34.32369767899996, 138.90872200800004 -34.32586854599998, 138.90874277500006 -34.328547438999976, 138.90886154300006 -34.33079364699995, 138.90855674800002 -34.33252586699996, 138.90848487900007 -34.33542035299996, 138.90842018800004 -34.33802538799995, 138.90832852900007 -34.34171585299998, 138.90827090900007 -34.34483647999997, 138.90855213100008 -34.34846852499993, 138.90890408400003 -34.35036825999998, 138.91063785000006 -34.34810356999998, 138.91210190000004 -34.34619104999996, 138.91389989000004 -34.34735273999996, 138.91410869000003 -34.34748762999993, 138.9144591920001 -34.34771407299996, 138.91535519 -34.34829292999996, 138.91891192800006 -34.351248865999935, 138.92356959900007 -34.35341405499997, 138.92691432000004 -34.35433861499996, 138.92957903400008 -34.355075125999974, 138.9314113900001 -34.35269687999994, 138.9298438300001 -34.35186772999998, 138.93029868300005 -34.351279130999956, 138.93097122900008 -34.35041034899996, 138.93097094100006 -34.350409181999964, 138.9301011110001 -34.34688254899993, 138.92993941400005 -34.34599960699995, 138.92986004600004 -34.34556621799993, 138.92981228500003 -34.345305408999934, 138.92947597800003 -34.343468934999976, 138.92917619900004 -34.34107947199993, 138.9295717980001 -34.340764442999955, 138.93010454500006 -34.340567387999954, 138.93088244600006 -34.340503265999985, 138.93165592200012 -34.34061937299998, 138.93192657500003 -34.34071659999995, 138.9323331180001 -34.340862640999944, 138.93299735800008 -34.34114372999994))"
2,METALLIC MINERALS,Copper,,"POLYGON ((138.8883225720001 -34.25146827499998, 138.879890917 -34.25676293599997, 138.877586231 -34.25899733299997, 138.8756592320001 -34.26149066199997, 138.87520837400007 -34.26359019499995, 138.8769967280001 -34.26908078899993, 138.8790422090001 -34.27570474199996, 138.87994463500002 -34.27792867499994, 138.88029819700012 -34.27937235699994, 138.88235449100011 -34.28288210299996, 138.88800497900002 -34.292035648999956, 138.89036299200006 -34.296233136999945, 138.89166150500012 -34.295527119999974, 138.88829096300003 -34.28531409399994, 138.88718836200007 -34.282015601999944, 138.8858799080001 -34.27644795799995, 138.8856790220001 -34.27413586299997, 138.88537988200005 -34.27069273799998, 138.8862556250001 -34.26814998699996, 138.88776741900006 -34.26507277699994, 138.8890015070001 -34.26303725099996, 138.89193758300007 -34.260533632999966, 138.89495885100007 -34.25857464499995, 138.89945723100004 -34.256506728999966, 138.90389785000002 -34.25448366699993, 138.90908657700004 -34.253147593999984, 138.91586044000007 -34.25187407399994, 138.92151159500008 -34.25134606599994, 138.92618115400012 -34.250157197999954, 138.92679678500008 -34.24999999999994, 138.8904665550001 -34.24999999999994, 138.8903751370001 -34.25006294299993, 138.8883225720001 -34.25146827499998))"
2,METALLIC MINERALS,Copper,,"POLYGON ((139.0000000000001 -34.28286979199993, 138.99822109900003 -34.28487237899998, 138.9956533090001 -34.28646997199996, 138.99223167500008 -34.28751608899995, 138.98908696500007 -34.28794448299993, 138.98693652100008 -34.28766504099997, 138.982720276 -34.28625894399994, 138.9815360120001 -34.28554643699994, 138.9808211610001 -34.284560133999946, 138.98018819600009 -34.283963349999965, 138.97922349700002 -34.28375509899996, 138.97514229700005 -34.28374591399995, 138.97323945100004 -34.283810277999976, 138.97089716900007 -34.28307216099995, 138.9689134130001 -34.282334763999984, 138.9674826470001 -34.28098040599997, 138.96671573700007 -34.278757310999936, 138.9655466590001 -34.27167863699998, 138.96445194300009 -34.268195359999936, 138.96297030100004 -34.26516913599994, 138.96159501300008 -34.26381486199995, 138.96068783300007 -34.26273638599997, 138.9595625170001 -34.26064985499994, 138.95893632800005 -34.257396642999936, 138.95767636100004 -34.25402741599993, 138.95627589600008 -34.25182567799993, 138.95525934900002 -34.25044931499997, 138.9546288370001 -34.250037900999985, 138.9545707530001 -34.24999999999994, 138.95136133500012 -34.24999999999994, 138.95123905100002 -34.25004005799997, 138.9512083300001 -34.25005012299994, 138.94911000800005 -34.25141893899996, 138.94651505800005 -34.25292387799993, 138.94458036700007 -34.25491128799996, 138.94333643700008 -34.25623632399993, 138.94209203700007 -34.25774455299995, 138.94274635300008 -34.25797138199994, 138.94384888700006 -34.258229892999964, 138.94437084000003 -34.25838995299995, 138.94471212500002 -34.258719403999976, 138.9453580280001 -34.25977935399993, 138.946198137 -34.26118327399996, 138.94745145600007 -34.26158158699997, 138.94794589800006 -34.26192371399998, 138.94890372300006 -34.26297583499996, 138.94997809400002 -34.26394447699994, 138.95082424400005 -34.264244986999984, 138.95118785500006 -34.264614897999934, 138.95255667100002 -34.267122925999956, 138.95473247100006 -34.27419282899996, 138.9557374850001 -34.27886074799994, 138.95617857000002 -34.28298328099993, 138.95616900900006 -34.28686422599998, 138.9564265140001 -34.28969474599995, 138.95791089300008 -34.29606953499996, 138.958762083 -34.29778264299995, 138.9603035770001 -34.29906882199998, 138.96219993900002 -34.29932868399993, 138.96494668600008 -34.29931042599998, 138.96817991600005 -34.29923346499993, 138.97341858800007 -34.300291604999984, 138.97946568700002 -34.30264449499998, 138.98732873500012 -34.30701152299997, 138.99222275600005 -34.30966087899998, 138.99268293900002 -34.30970681599996, 138.9954678460001 -34.31028522399998, 138.99819858500007 -34.31033676799996, 138.999275097 -34.30997261099998, 139.0000000000001 -34.30985380599998, 139.0000000000001 -34.28286979199993), (138.99817991300006 -34.30747597399994, 138.9974694430001 -34.30770077599993, 138.995777588 -34.307125766999945, 138.98996401600004 -34.303953184999955, 138.9875549400001 -34.30241910799998, 138.9874020960001 -34.30191750299997, 138.9873141800001 -34.30135545299993, 138.9875334720001 -34.30065830099994, 138.9878135990001 -34.300242449999985, 138.9882234260001 -34.300052971999946, 138.988730529 -34.30003327199995, 138.98930315300004 -34.30009873499995, 138.99000214700004 -34.30053066399995, 138.9908362000001 -34.30096480399993, 138.99203698300005 -34.301601163999976, 138.99303720700004 -34.302150135999966, 138.9944061760001 -34.30281726099997, 138.99547728800007 -34.303227222999965, 138.99628295700006 -34.30343661999996, 138.9968225140001 -34.303473476999955, 138.99746402800008 -34.303483969999945, 138.99813797600007 -34.30355104999995, 138.99874306700008 -34.303673060999984, 138.99920845100007 -34.303988998999955, 138.9994652700001 -34.30455380099994, 138.99948906400004 -34.30497464399997, 138.9994042520001 -34.305702045999965, 138.99912416000006 -34.30611792499997, 138.9988751720001 -34.30664643099993, 138.9985599790001 -34.307117794999954, 138.99817991300006 -34.30747597399994))"
2,METALLIC MINERALS,Gold,Gumeracha Goldfield & Mt Crawford Diggings,"POLYGON ((138.93056840300005 -34.74999999999994, 138.93039149800006 -34.74969055099996, 138.92981863900002 -34.74858804799993, 138.92986071100006 -34.74853983599996, 138.93063319500004 -34.74765459699995, 138.93067488000008 -34.74731109099997, 138.92906622100008 -34.74822478699997, 138.9281095560001 -34.74809732399996, 138.9267229730001 -34.74809512499996, 138.9252694380001 -34.74853867199994, 138.92498957100008 -34.748538595999946, 138.92476784500002 -34.748435649999976, 138.92500374000008 -34.747989374999975, 138.927028532 -34.74643506199993, 138.92687605700007 -34.74636611599993, 138.92374206300008 -34.747689606999984, 138.92291657700002 -34.74813943799995, 138.92349813300007 -34.74882817499997, 138.92407194500004 -34.74932178199998, 138.92472376600006 -34.74975360899998, 138.92518718600002 -34.74999999999994, 138.93056840300005 -34.74999999999994))"
2,METALLIC MINERALS,Gold,,"POLYGON ((138.8326477280001 -34.649344069999984, 138.8343592120001 -34.64333567799997, 138.83437359800007 -34.64290053999997, 138.83402772700003 -34.64267069099998, 138.83395911600007 -34.64220101199993, 138.8343611250001 -34.641915634999975, 138.8346936800001 -34.64173316499995, 138.83515198500004 -34.64071495899998, 138.83544426600008 -34.63960477899997, 138.83184172000006 -34.64132578699997, 138.82965202100002 -34.642649167999934, 138.8275586640001 -34.64431626099997, 138.82608881300007 -34.64570995099996, 138.82427092400007 -34.64830530099994, 138.822674419 -34.65096979599997, 138.82135447400003 -34.65381818399993, 138.82039558500003 -34.65599176899997, 138.8197260400001 -34.659116525999934, 138.819236842 -34.66196689099996, 138.81942629700006 -34.66486468599993, 138.8201547650001 -34.66853108799995, 138.81982907500003 -34.67316827099995, 138.81893561200002 -34.67762088699993, 138.81761240700007 -34.68216412499993, 138.816371827 -34.686913610999966, 138.81550962400001 -34.68891560299994, 138.8139540080001 -34.69130517499997, 138.81282719800004 -34.69407375299994, 138.8127989180001 -34.69419775399996, 138.81468000000007 -34.69446999999997, 138.8155700000001 -34.696099999999944, 138.8165100000001 -34.69673999999998, 138.81815000000006 -34.697299999999984, 138.81925 -34.69819999999993, 138.82158000100003 -34.701119999999946, 138.82172000100002 -34.70247000099994, 138.8224100010001 -34.703479999999956, 138.82834000000003 -34.70907999999997, 138.8310661150001 -34.709371818999955, 138.83113778100005 -34.708593135999934, 138.8326971790001 -34.703443368999956, 138.834146658 -34.69749173399998, 138.83466073500006 -34.69645080399994, 138.83545413900003 -34.69385301199998, 138.83619415500004 -34.689697627999976, 138.83739217400012 -34.68483327799993, 138.83871195900008 -34.68211066199996, 138.8392275860001 -34.679821448999974, 138.84035266600006 -34.67754501299993, 138.84117338800002 -34.67493582499998, 138.84249361900004 -34.67161767699997, 138.8435204440001 -34.670222784999964, 138.84083313700012 -34.67023971899994, 138.84077804100002 -34.670010529999956, 138.8407790770001 -34.669185967999965, 138.84044744400012 -34.668543958999976, 138.83997678700007 -34.668336744999976, 138.8376490500001 -34.66881244799998, 138.83805158600012 -34.66816063699997, 138.83855056100003 -34.66796705699994, 138.83911934500009 -34.667281215999935, 138.83917516000008 -34.66697215299996, 138.83895368800006 -34.66684566299995, 138.83855189500002 -34.666947852999954, 138.83774850600003 -34.666946035999956, 138.83729179500006 -34.66663579799996, 138.836255036 -34.66508737099997, 138.83577221200005 -34.663654780999934, 138.83584295800006 -34.66248685299996, 138.83580203000008 -34.66202864799993, 138.83540025600007 -34.66213079299996, 138.83418129400002 -34.66223109599997, 138.83342026900004 -34.661668170999974, 138.83307500900003 -34.66091155199996, 138.83259098500002 -34.66038362499995, 138.83149730600007 -34.660037563999936, 138.830749394 -34.660012913999935, 138.8302653510001 -34.659519348999936, 138.82903126100007 -34.65929899599996, 138.82807729800004 -34.65930819299996, 138.82728802000008 -34.65918037499995, 138.8266931930001 -34.65867506999996, 138.82546227500006 -34.65751551999995, 138.82436994900002 -34.656287575999954, 138.82420538500003 -34.65516486799993, 138.82436046500004 -34.65333291299993, 138.82423818400002 -34.651729356999965, 138.82412974500005 -34.65014873499996, 138.82450509000012 -34.649164732999964, 138.82496274800008 -34.64870771699998, 138.825794276 -34.648263069999985, 138.82681914900002 -34.64821968199993, 138.82838325700004 -34.64873870399998, 138.82906186600007 -34.648705923999955, 138.82967157300004 -34.648432508999974, 138.83069627400005 -34.64848065199993, 138.83154068700003 -34.648700222999935, 138.8326477280001 -34.649344069999984))"
2,METALLIC MINERALS,Gold,Gumeracha Goldfield & Mt Crawford Diggings,"POLYGON ((138.921648827 -34.74639210699996, 138.92454692100011 -34.745640908999974, 138.92622485000004 -34.744841924999946, 138.92867912400004 -34.74421587699993, 138.92971899200006 -34.744125871999984, 138.93118856900003 -34.74464348199996, 138.93177088000004 -34.744713101999935, 138.93225616200004 -34.74462220799995, 138.932949677 -34.743489487999966, 138.93286663800006 -34.74281367599997, 138.93247895000002 -34.740694391999966, 138.93268830700003 -34.73440735999998, 138.93307717200003 -34.73139596599998, 138.93287803600003 -34.730834312999946, 138.93230098700008 -34.73081074299995, 138.9327170370001 -34.72987224599996, 138.9320658250001 -34.72848554199993, 138.9312195430001 -34.73135881999997, 138.9303596530001 -34.732857724999974, 138.93006829400008 -34.73383073699995, 138.93040071400003 -34.734987941999975, 138.93060850300003 -34.73569833199997, 138.930178328 -34.737323886999945, 138.9302890340001 -34.73819442299998, 138.93102356000009 -34.739283532999934, 138.93092635900007 -34.73986743299997, 138.9303576630001 -34.740679701999966, 138.92960896400007 -34.740884678999976, 138.92884649000007 -34.740711705999956, 138.92790382900012 -34.74024068699998, 138.92698884300012 -34.74002168099997, 138.92687418700007 -34.74089519499995, 138.92680078500007 -34.742125999999985, 138.92648832800012 -34.74268390399993, 138.9255826100001 -34.74309089199994, 138.92428856200002 -34.74327094699993, 138.92220187100008 -34.74356126299995, 138.92108827800007 -34.74375345999994, 138.92047738500003 -34.744306250999955, 138.92016223000007 -34.74496969599994, 138.92036095000003 -34.745638344999975, 138.9208513650001 -34.74602761199998, 138.921648827 -34.74639210699996))"
1,METALLIC MINERALS,Gold,,"POLYGON ((138.92078446000005 -34.53675678999997, 138.92204096000012 -34.53382917999994, 138.92240748000006 -34.53297514999997, 138.92369482000004 -34.52997551999994, 138.9236870100001 -34.52962551899998, 138.92406519000008 -34.52823140999993, 138.91832813000008 -34.52657635999998, 138.9166130200001 -34.530834099999936, 138.91532530000006 -34.53403075999995, 138.91489711100007 -34.53509363999996, 138.91888988000005 -34.53627420999993, 138.92068356100003 -34.53680448999995, 138.92078446000005 -34.53675678999997))"
2,METALLIC MINERALS,Gold,,"POLYGON ((138.7500000000001 -35.07090308199997, 138.7500000000001 -35.05985778899998, 138.7375606910001 -35.06514919499995, 138.72522537800012 -35.072510517999945, 138.71452099500004 -35.079752430999974, 138.71078465100004 -35.08385013999998, 138.71069314700003 -35.087123437999935, 138.71191865100002 -35.088635228999976, 138.71444871000006 -35.088831830999936, 138.72079293000002 -35.08656153299995, 138.73366964800005 -35.08145176499994, 138.7500000000001 -35.07090308199997))"
2,METALLIC MINERALS,Gold,,"POLYGON ((138.733670554 -35.01036516499994, 138.7350074950001 -35.00859614999996, 138.7356348400001 -35.007625221999945, 138.73194064900008 -35.008656042999974, 138.72680960800005 -35.00978604499994, 138.72187341200004 -35.01124402199997, 138.72179032300005 -35.01191858799996, 138.72233426100001 -35.01277620899998, 138.72301762400002 -35.01278002099997, 138.7255553870001 -35.011998250999966, 138.72735428400006 -35.01160826199998, 138.72827472300003 -35.011508307999975, 138.72878982400005 -35.01155401099993, 138.7293484700001 -35.01190703899994, 138.7295158500001 -35.012045401999956, 138.72985087000006 -35.012213937999945, 138.73032466000006 -35.01206954999998, 138.73078500100007 -35.01211422099993, 138.73120365700004 -35.01232939999994, 138.73173326200003 -35.01251959999996, 138.73231892900003 -35.012440399999946, 138.73262588700004 -35.01211258099994, 138.733670554 -35.01036516499994))"
