Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
AMEROO,"Copper, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,AMPHIBOLITE,Willyama Supergroup,140.196096,-32.126934
REEVESBY ISLAND,Copper,Low Significance,GAWLER CRATON,Lithological-contact,AMPHIBOLITE,amphibolite,GNEISS,Donington Suite,136.284143,-34.522208
ANTRO WEST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,REGOLITH,Benda Siltstone,GRANITE,Mesoproterozoic unit 1,140.073784,-32.061417
ETHIUDNA PIPERS,"Copper, Cobalt, Nickel, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,GOSSAN,deep weathering,CALCSILICATE ROCK,Ethiudna Subgroup,139.838044,-32.053621
MINDAMEREEKA TRIG,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,PEGMATITE (NO COMPOSITION),pegmatite,QUARTZITE,Willyama Supergroup,139.897977,-32.042164
PORT LINCOLN,Copper,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,TECTONITE,Palaeoproterozoic unit 10,GNEISS,Hutchison Group,136.028197,-34.33147
LIPSONS COVE,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GNEISS,Donington Suite,136.259697,-34.265373
NEW MOUNT LIVERPOOL,Copper,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,PEGMATITE (NO COMPOSITION),pegmatite,GNEISS,Donington Suite,135.968145,-34.386429
OLD MOUNT LIVERPOOL,Copper,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Donington Suite,135.979483,-34.379304
SCRUBBERS CAMP ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,-,ALLUVIUM,Tertiary rocks,-,-,138.973535,-33.330858
HOSPITAL,"Uranium, Uranium Oxide",Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,GNEISS,Colbert Granite,PARAGNEISS,Colbert Granite,135.848323,-34.724131
AINSLEE SOUTH,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Geochemical-fluid,TECTONITE,Colbert Granite,GNEISS,Colbert Granite,135.839508,-34.684064
LINCOLN FRASERS,Uranium,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,GNEISS,Wanna Megacrystic Granite Gneiss,ORTHOGNEISS,Wanna Megacrystic Granite Gneiss,135.840433,-34.744467
MORIALPA,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Willyama Supergroup unit 8,139.879415,-32.285097
MORIALPA WEST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-contact,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Willyama Supergroup,139.865561,-32.280464
MONTSTEPHEN WELL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Willyama Supergroup,139.912152,-32.175691
MITCHELLS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,METASEDIMENT,Wilyerpa Formation,139.933358,-32.176232
LUIGIS,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,CALCSILICATE ROCK,Bimba Formation,METASEDIMENT,Willyama Supergroup unit 14,140.29879,-32.117261
WOMAN IN WHITE,"Gold, Corundum, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,IRONSTONE (METASOMATIC),hydrothermal alteration,ALBITITE (METASOMATIC),Abminga Subsuite,140.288578,-32.119135
LADY LOUISE,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,IRONSTONE (METASOMATIC),Bimba Formation,GNEISS,Wiperaminga Subgroup,140.28708,-32.109978
CATHEDRAL ROCK,"Copper, Uranium, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,CALCALBITE-ALTERED ROCK (CHEMICAL SED PRECURSOR),Ethiudna Calc-silicate Group,140.344789,-32.088369
BLACK HILL DAM,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METAVOLCANIC,Boucaut Volcanics,140.901461,-32.519196
MARNA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Mintaro Shale,140.370358,-32.559852
CURRANT BUN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Mintaro Shale,140.412447,-32.539319
WESTONIA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SLATE,Mintaro Shale,140.341366,-32.525875
ANABAMA,"Copper, Silver, Gold, Cobalt, Molybdenum, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,PHYLLITE,Benda Siltstone,METASEDIMENT,Yudnamutana Subgroup,140.287282,-32.786997
NETLEY HILL,"Molybdenum, Copper",Locally Significant,DELAMERIAN OROGEN,Geochemical-non specific,GREISEN,Anabama Granite,QUARTZ FELDSPAR PORPHYRY,Anabama Granite,140.043158,-32.807648
FAUGH A BALLAGH,"Copper, Gold",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Structural-fault/shear/fracture,IRON FORMATION,Ethiudna Subgroup,CALCALBITE-ALTERED ROCK (SEDIMENT PRECURSOR),Ethiudna Calc-silicate Group,140.204225,-32.18421
FAUGH A BALLAGH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,ALBITITE (METASOMATIC),Willyama Supergroup,140.334629,-32.551459
GREEN AND GOLD,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,TECTONITE,Ethiudna Calc-silicate Group,CALCSILICATE ROCK,Ethiudna Calc-silicate Group,140.47485,-32.198965
PIMPONDA,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 3,SLATE,Mesoproterozoic unit 1,140.262749,-32.087007
MENINGIE WELL SOUTH,"Copper, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,deep weathering,CALCSILICATE ROCK,Willyama Supergroup unit 16,140.389641,-32.084261
MOOLEUGORE,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,Bimba Formation,CALCSILICATE ROCK,Bimba Formation,140.409808,-32.001396
ANTRO WELL,"Copper, Beryllium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,SKARN,skarn,CALCSILICATE ROCK,Willyama Supergroup,140.074495,-32.029713
WEEKEROO,"Copper, Rare Earths",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,GOSSAN,deep weathering,GNEISS,Bimba Formation,140.044726,-32.233213
SMITHS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Pualco Tillite,140.221186,-32.515761
ERINGA,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,140.316694,-32.416094
LEYS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 1,METASEDIMENT,Enorama Shale,140.252509,-32.448701
GOLDEN DEWDROP,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-contacts,VEIN (UNDIFFERENTIATED),quartz vein,SLATE,Tapley Hill Formation,140.160526,-32.329226
MIGO,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Enorama Shale,140.140652,-32.363597
BOOMERANG,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,140.145364,-32.365524
MEGAWS,"Copper, Silver, Gold, Graphite, Lead, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Willyama Supergroup unit 14,140.308244,-32.240814
SCORPION,"Copper, Gold, Cobalt",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,AMPHIBOLITE,Willyama Supergroup,140.909593,-32.226526
ROUND HILL EAST,Gold,Low Significance,DELAMERIAN OROGEN,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Anabama Granite,140.351235,-32.626778
ESMONDE EAST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,PHYLLITE,Mintaro Shale,140.343846,-32.55101
BONNIE KEITH EAST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,PHYLLITE,Mintaro Shale,140.350453,-32.543152
ESMONDE SOUTH,Gold,Low Significance,-,-,GRAVEL,Holocene alluvial/fluvial unit 1,-,-,140.342501,-32.556025
PEGLINE DAM WEST,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-fluid,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Benda Siltstone,140.650056,-32.490142
STONE TANK,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Geochemical-fluid,GOSSAN,deep weathering,AMPHIBOLITE,Willyama Supergroup unit 1,140.930987,-32.302426
DEY HILL,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,GNEISS,Willyama Supergroup,140.708979,-32.36407
TALTABOOKA,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Mintaro Shale,140.28501,-32.509419
GOLDEN SOPHIA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Mintaro Shale,140.275999,-32.544413
GOLDEN STREAM,Gold,Low Significance,DELAMERIAN OROGEN,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Benda Siltstone,140.317013,-32.63731
MILDALTIE SHOOTS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Yudnamutana Subgroup,140.561721,-32.329363
CURRANT BUN WEST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Mintaro Shale,140.407411,-32.537886
MOUNT QUONDONG,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,TILLITE,Benda Siltstone,140.224651,-32.515197
PEARSONS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Mintaro Shale,140.34858,-32.566505
KINGS WELL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,BRECCIA (UNDIFF. ORIGIN),hydrothermal alteration,LAMPROPHYRE,lamprophyre,139.272459,-33.583089
MURPHYS CLAIMS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-fluid,REGOLITH,Skillogalee Dolomite,DOLOMITE ROCK,Skillogalee Dolomite unit 6,139.160009,-33.935133
MOUNT EURO,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,SANDSTONE,Bunyeroo Formation,METASEDIMENT,Bunyeroo Formation,138.885308,-30.783248
DALKEY NORTH,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapley Hill Formation,140.569167,-32.338726
DALKEY CENTRAL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Yudnamutana Subgroup,140.566971,-32.353648
GALL WELL EAST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,IRONSTONE (UNDIFF. ORIGIN),quartz vein unit 4,TILLITE,Wilyerpa Formation unit 4,140.592322,-32.317152
TAYLOR SHAFT,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,IRONSTONE (UNDIFF. ORIGIN),deep weathering,GNEISS,Willyama Supergroup,140.666814,-32.320411
PEAKED HILL EAST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Pualco Tillite,140.731366,-32.457415
W. MACDONALD,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Willyama Supergroup,140.566754,-32.245104
OAK PARK WEST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Belair Subgroup,139.508226,-32.823073
WHEAL MOTLEY,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Pualco Tillite,139.592956,-32.902974
WHITE ROCKS,Copper,Locally Significant,ADELAIDE GEOSYNCLINE,Lithological-non specific,METADACITE,Boucaut Volcanics,METAVOLCANIC,Boucaut Volcanics,140.358082,-32.80809
YADNARIE,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-fault/shear/fracture,TECTONITE,Yadnarie Schist,SCHIST,Yadnarie Schist,136.456953,-33.650422
STANLEYS,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,QUARTZITE,Warrow Quartzite,136.421282,-33.438029
ARGENT,"Graphite, Silver",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-non specific,SCHIST,Warrow Quartzite,METASEDIMENT,Warrow Quartzite,136.422054,-33.467636
BRODIE WELL,Heavy Minerals,Low Significance,GAWLER CRATON,-,ALLUVIUM,Quaternary alluvial/fluvial sediments,-,-,136.258369,-32.3418
TARDLAPINNA WELL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-fluid,GOSSAN,gossan,METASEDIMENT,Amberoona Formation,139.380983,-29.930971
GRAINGERS OLD,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Tapanappa Formation,137.233956,-35.707958
WAUKAWOONDNA CREEK,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Wonoka Formation,138.858414,-30.790228
BULLOCK HEAD BORE,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,DOLOMITE ROCK,Bunyeroo Formation,138.962799,-30.869713
LAGOON HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Appila Tillite,138.955217,-33.951606
PRINCESS ROYAL FAR NORTH,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Woolshed Flat Shale,138.995963,-33.75656
