Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
MOUNT SHANNAN,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,SCHIST,Yadnarie Schist,METASEDIMENT,Yadnarie Schist,136.486154,-33.637258
WOMBAT FLAT,Heavy Minerals,Low Significance,COASTAL QUATERNARY,-,SAND,Saint Kilda Formation unit 15,-,-,135.15528,-33.462995
YARRANNA CENTRAL,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Lithological-non specific,SAND,Tertiary-Pleistocene alluvial/fluvial sediments,SAND,Tertiary-Pleistocene lacustrine sediments,134.360173,-32.055428
CHRISTIAN,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-contact,APLITE,Spilsby Suite unit 2,BANDED IRON FORMATION,Lower Middleback Jaspilite,136.423287,-33.603197
WESTWARD HO,Gold,Locally Significant,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,139.81351,-32.371679
EUDUNDA HOPE,Gold,Locally Significant,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,139.834557,-32.371559
TROJAN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,139.866309,-32.373923
STARLIGHT DAM NORTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Tarcowie Siltstone,139.823712,-32.330776
MORIALPA EAST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Tapley Hill Formation,139.892476,-32.284397
BRISTOWES,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,GNEISS,Willyama Supergroup,140.650405,-32.338392
COMPANY WELL,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Kenella Gneiss,134.961352,-30.684521
TOLMERS HILL,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Tarcoola Formation,134.461988,-30.705863
MALBOOMA,"Gold, Aluminium",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,ANORTHOSITE,Muckanippie Suite,134.138718,-30.216583
BARTLETTS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Fabian Quartzite Member,134.485282,-30.762839
CROCKER EASTERN,"Uranium, Uranium Oxide",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,ALASKITE,Crocker Well Suite,139.833461,-32.011567
GOULDS DAM,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Geochemical-contacts,SAND,Eyre Formation,CLAY (SEDIMENTARY),Eyre Formation,139.949335,-31.470713
EGAN,"Copper, Gold, Tungsten",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,GRANITOID ROCK,Willyama Supergroup,139.838486,-31.979192
OAK PARK EAST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Belair Subgroup,139.537975,-32.819815
PEARLAH,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,SCHIST,Hutchison Group,SCHIST,Hutchison Group,135.678899,-34.573695
BILLEROO HILL WEST,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Willyama Supergroup,139.897924,-31.8916
MINBRIE SPRINGS,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,SCHIST,Warrow Quartzite,136.89619,-33.517406
WIPERAMINGA,"Copper, Feldspar",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,BRECCIA (UNDIFF. ORIGIN),hydrothermal alteration,CALCSILICATE ROCK,Bimba Formation,140.433323,-31.97543
BOOLCOOMATA,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,PELITE,Willyama Supergroup,140.463791,-31.957808
BIMBA NORTH,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,deep weathering,CALCSILICATE ROCK,Bimba Formation,140.21759,-31.905773
OLD STATION BORE,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GNEISS,Willyama Supergroup,139.693915,-31.900764
HONEYMOON,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Geochemical-contacts,SAND,Eyre Formation,CLAY (SEDIMENTARY),Eyre Formation,140.661933,-31.742027
MONARTO,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,139.129798,-35.024139
BILLS HILL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,IRONSTONE (UNDIFF. ORIGIN),hydrothermal alteration,TILLITE,Wilyerpa Formation,140.581224,-32.292912
TALBOT CREEK,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,FAULT BRECCIA,Mesoproterozoic unit 1,GRANITOID ROCK,Mesoproterozoic unit 1,139.843285,-31.921053
WINDAMERTA,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,GRANITOID ROCK,Mesoproterozoic unit 1,139.821763,-31.925017
KOBOL,Copper,Low Significance,MUSGRAVE PROVINCE,Structural-fault/shear/fracture,DOLERITE,Mesoproterozoic unit 21,GNEISS,Birksgate Complex,132.939164,-26.857746
DUFFIELDS BORE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,TILLITE,Pualco Tillite,140.594283,-32.437095
WELLS GRANITE DOWNS,Gold,Low Significance,MUSGRAVE PROVINCE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Wataru Gneiss,133.49916,-26.929299
OLD WELL,Copper,Low Significance,MOORILYANNA GRABEN,Structural-fault/shear/fracture,DOLERITE,Mesoproterozoic unit 21,GNEISS,Wataru Gneiss,133.090317,-26.767218
NEW MOUNT LIVERPOOL NORTH,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Donington Suite,135.969754,-34.384432
MIDNINTIE,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Geochemical-fluid,METASEDIMENT,Warrow Quartzite,GRANITE,Yunta Well Leucogranite,136.131592,-34.225743
BURRAWING,"Copper, Gold",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-fault/shear/fracture,FAULT BRECCIA,Lower Middleback Jaspilite,BANDED IRON FORMATION,Lower Middleback Jaspilite,136.110726,-34.269248
COPPER RIDGE,Copper,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,MYLONITE,Donington Suite,GNEISS,Donington Suite,136.064575,-34.322016
LOMAX,"Uranium, Uranium Oxide",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,GNEISS,Wanna Megacrystic Granite Gneiss,GNEISS,Wanna Megacrystic Granite Gneiss,135.844921,-34.722531
DAVEY WOLLASTON,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,GNEISS,Wanna Megacrystic Granite Gneiss,GNEISS,Wanna Megacrystic Granite Gneiss,135.824481,-34.731869
SOUTH HILL,Uranium,Low Significance,CURNAMONA PROVINCE,Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,FELSIC PEGMATITE,Willyama Supergroup unit 1,140.64132,-32.351897
BUMBUMBIE HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Wilyerpa Formation,139.822967,-32.273308
JAGGED ROCKS,"Uranium, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,MIGMATITE,Willyama Supergroup unit 1,DIORITE,Willyama Supergroup,139.754591,-31.890442
CROCKER ORIGINAL,"Uranium, Thorium, Uranium Oxide",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,QUARTZ SYENITE,Crocker Well Suite,ALASKITE,Crocker Well Suite,139.801956,-32.012952
CROCKER SOUTH,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,ALASKITE,Mesoproterozoic unit 1,139.805446,-32.029601
CROCKER JUNCTION,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,ALASKITE,Willyama Supergroup,139.803777,-32.018133
DRY CREEK,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,AMPHIBOLITE,Willyama Supergroup unit 1,140.888691,-32.300216
WOOCALLA,Copper,Low Significance,CARIEWERLOO BASIN,Lithological-non specific,QUARTZITE,Pandurra Formation,DOLOMITE ROCK,Woocalla Dolomite Member,137.188711,-31.685115
LUXEMBURG,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GNEISS,Willyama Supergroup,140.565215,-32.265054
QUEEN BEE,"Copper, Gold",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GNEISS,Willyama Supergroup,140.566262,-32.268215
WINDAMERTA EAST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SCHIST,Willyama Supergroup,139.807767,-31.935382
WINDAMERTA WEST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,GNEISS,Willyama Supergroup,139.797657,-31.940342
TATTALENGHI,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),-,SCHIST,Hutchison Group,BANDED IRON FORMATION,Hutchison Group,135.826358,-34.38123
BRUCE,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),-,SCHIST,Hutchison Group,SCHIST,Hutchison Group,136.087574,-34.27649
FOLLETT AND BOYD,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,SCHIST,Middleback Subgroup,GOSSAN,Middleback Subgroup,135.938819,-34.380615
HOMESTEAD,Graphite,Low Significance,GAWLER CRATON,-,SCHIST,Hutchison Group,SCHIST,Hutchison Group,135.67175,-34.824509
MORNINGTON,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,GNEISS,Warrow Quartzite,GNEISS,Warrow Quartzite,135.732471,-34.491476
BANTU,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,GNEISS,Donington Suite,GNEISS,Donington Suite,135.883939,-34.519448
KINMONT,Graphite,Low Significance,GAWLER CRATON,Structural-fold,SCHIST,Hutchison Group,SCHIST,Hutchison Group,135.682896,-34.84826
SLEAFORD MERE,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),-,SCHIST,Hutchison Group,SCHIST,Hutchison Group,135.732968,-34.822261
LINCOLN PLUMBAGO,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),-,SCHIST,Hutchison Group,SCHIST,Hutchison Group,135.74108,-34.78633
COOMUNGA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),-,SCHIST,Hutchison Group,MARBLE,Hutchison Group,135.751118,-34.677239
ST ELMO,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Skillogalee Dolomite,139.042803,-33.856681
OLD WOOKONGARIE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Undalya Quartzite,138.990693,-33.30903
BRANCH CREEK SOUTH,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-contact,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,PERIDOTITE,kimberlite,138.976891,-33.367149
ROUND HILL CENTRAL,Gold,Low Significance,DELAMERIAN OROGEN,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Anabama Granite,140.331685,-32.622631
GILDED MONSTER,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SILTSTONE,Mintaro Shale,140.343192,-32.519585
ETHIUDNA NO.1,"Copper, Cobalt",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,MARBLE,Ethiudna Calc-silicate Group,139.854929,-32.054592
STREMPEL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,METASEDIMENT,Bimba Formation,139.828849,-32.062818
MINDAMEREEKA,Graphite,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,CALCSILICATE ROCK,Willyama Supergroup unit 16,METASEDIMENT,Willyama Supergroup unit 16,139.907918,-32.023561
PLUMBAGO,Graphite,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Geochemical-fluid,CALCSILICATE ROCK,Bimba Formation,METASEDIMENT,Willyama Supergroup unit 1,139.82218,-32.070695
AMEROO HILL SOUTH,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,deep weathering,CALCSILICATE ROCK,Willyama Supergroup unit 14,140.194142,-32.132332
BLACK MARIA,"Copper, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Willyama Supergroup unit 14,140.294947,-32.108317
QUARTZ HILL,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SCHIST,Palaeoproterozoic unit 2,140.84835,-32.287093
TOMMY WATTIE WEST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,PEGMATITE (NO COMPOSITION),pegmatite,METASEDIMENT,Willyama Supergroup unit 14,140.139091,-32.112487
SPILSBY ISLAND,"Molybdenum, Tungsten",Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 3,GRANITE,Spilsby Suite unit 1,136.346305,-34.682216
DALBY ISLAND,"Copper, Zinc",Low Significance,GAWLER CRATON,Geochemical-fluid,GRANODIORITE,Donington Suite,GRANODIORITE,Donington Suite,136.236065,-34.564274
DOUGHBOY WELL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,SCHIST,Ethiudna Subgroup,GNEISS,Ethiudna Calc-silicate Group,140.116539,-32.086784
GOLDEN BOOMERANG,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Enorama Shale,140.133855,-32.37415
WADNAMINGA NO.5,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,GOSSAN,deep weathering,SHALE,Wilyerpa Formation,140.318819,-32.490164
WILKINS,"Copper, Gold, Cobalt",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,IRON FORMATION,Wiperaminga Subgroup,SCHIST,Wiperaminga Subgroup,140.547396,-32.201768
TRINITY SOUTH,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Palaeoproterozoic unit 2,140.947006,-32.296916
ETHIUDNA,"Graphite, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,MIGMATITE,Willyama Supergroup unit 1,MIGMATITE,Willyama Supergroup,139.862211,-32.054823
ETHIUDNA MAIN SHAFT,"Copper, Cobalt, Uranium, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fold,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,MARBLE,Willyama Supergroup,139.837629,-32.04979
MCLEANS,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,AMPHIBOLITE,Willyama Supergroup unit 25,140.051734,-32.198391
WALPARUTA,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,ALBITITE (METASOMATIC),Willyama Supergroup unit 8,GNEISS,Willyama Supergroup unit 8,140.047936,-32.23156
WALTER OUTALPA,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Willyama Supergroup unit 25,140.054224,-32.201641
MARY,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz-feldpsar vein,GNEISS,Ethiudna Calc-silicate Group,140.459173,-32.064383
EALBARA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Geochemical-fluid,SAND,Tertiary-Pleistocene alluvial/fluvial sediments,SAND,Pidinga Formation,134.527124,-30.407235
WARRIOR,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Lithological-non specific,SAND,Tertiary-Pleistocene alluvial/fluvial sediments,SAND,Pidinga Formation,134.028677,-30.606347
MENINGIE WELL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,deep weathering,QUARTZITE,Willyama Supergroup unit 21,140.381991,-32.065235
PUTTS WELL,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-intersections,ALBITE-ALTERED ROCK (SEDIMENT PRECURSOR),Bimba Formation,ALBITITE (METASOMATIC),Mesoproterozoic unit 1,140.403959,-32.0186
MACDONALD HILL,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,MAGNETITE-RICH ROCK (METASOMATIC),Ethiudna Subgroup,CALCSILICATE ROCK,Ethiudna Subgroup,140.415201,-32.204048
MOUNT BULL,"Copper, Gold, Iron",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-contact,METALLIC MINERALISED ROCK/ORE,hydrothermal alteration,BANDED IRON FORMATION,Willyama Supergroup,140.273605,-32.007238
COPPERLINKA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-joint,VEIN (UNDIFFERENTIATED),quartz vein unit 4,DOLOMITE ROCK,Pepuarta Tillite,140.255801,-32.416466
COONDAPPIE,Uranium,Low Significance,FROME EMBAYMENT (EROMANGA BASIN),-,CLAY (SEDIMENTARY),Eyre Formation,-,-,139.744707,-31.605742
APOINGA,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Appila Tillite,138.963183,-33.810378
EDWARDS DAM,Heavy Minerals,Low Significance,GAWLER CRATON,-,ALLUVIUM,Holocene alluvial/fluvial unit 1,-,-,136.114371,-32.375706
YANINEE,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Lithological-non specific,SAND,Tertiary-Pleistocene alluvial/fluvial sediments,SAND,Tertiary-Pleistocene lacustrine sediments,135.1921,-33.071487
KATTATA,Gold,Low Significance,GAWLER CRATON,Lithological-contact,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Hiltaba Suite,134.832377,-32.883086
ST PETERS ISLAND,"Heavy Minerals, Tin",Low Significance,COASTAL QUATERNARY,-,SAND,Saint Kilda Formation unit 15,-,-,133.554344,-32.30696
WINCKEL AND GASKELL,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lithological-non specific,PEGMATITE (NO COMPOSITION),pegmatite,SCHIST,Cook Gap Schist,136.377886,-33.614984
SIMMS AND BRADLEY,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Structural-non specific,IRONSTONE (UNDIFF. ORIGIN),Tertiary-Pleistocene regolith/colluvial sediments,AMPHIBOLITE,Cook Gap Schist,136.493032,-33.641604
GUM CREEK,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,BRECCIA (UNDIFF. ORIGIN),Saddleworth Formation,139.784902,-32.803109
HONEYSUCKLE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,-,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASILTSTONE,Tapley Hill Formation,138.904434,-34.958599
MALLEE DAM,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,IRONSTONE (UNDIFF. ORIGIN),hydrothermal alteration,METASEDIMENT,Cradock Quartzite Member,140.056662,-32.72233
WELSH PRINCE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SANDSTONE,Cradock Quartzite Member,140.106518,-32.641177
GILES NOB,Copper,Low Significance,DELAMERIAN OROGEN,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GREISEN,Anabama Granite,140.331763,-32.564523
TRENOWDENS,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,VEIN (UNDIFFERENTIATED),calcite,GNEISS,Willyama Supergroup unit 1,140.917281,-32.295687
DRY CREEK,"Copper, Corundum",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Geochemical-fluid,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,Willyama Supergroup unit 1,GNEISS,Willyama Supergroup unit 1,140.892093,-32.297783
CEMETERY,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Yudnamutana Subgroup,140.565103,-32.34417
BILLS HILL SOUTH,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Willyama Supergroup,140.582603,-32.293711
COCKSCOMB HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,DOLOMITE ROCK,Nuccaleena Formation,139.829277,-32.547998
NEW YEAR,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Curdimurka Subgroup,138.345097,-30.817102
SIX MILE,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SHALE,Bunyeroo Formation,138.403219,-30.897738
ESMONDE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Mintaro Shale,140.340123,-32.550314
MICHELLE HILL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,MAFIC INTRUSIVE,Palaeoproterozoic unit 2,INTERMEDIATE INTRUSIVE,Willyama Supergroup unit 1,140.631006,-32.326788
GUM WELL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,DOLOMITE ROCK,Saddleworth Formation,139.822296,-32.793968
LURON,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Mintaro Shale,140.32892,-32.552962
LION HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Pualco Tillite unit 4,140.36324,-32.52707
NETLEY GAP WELL,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Belair Subgroup,140.036584,-32.773502
LYNDOCH DAM,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Burra Group,140.801613,-32.533938
CURDNATTA,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GRANITE,Paxton Granite,134.562701,-30.693834
ROYAL GEORGE,Gold,Low Significance,GAWLER CRATON,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 3,GRANITE,Hiltaba Suite,134.499041,-30.699424
COOALINGA CREEK,Gold,Low Significance,-,-,ALLUVIUM,Pleistocene alluvial/fluvial sediments,-,-,138.149338,-35.624901
ROPERS,"Arsenic, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GREYWACKE,Backstairs Passage Formation,138.121704,-35.63915
WHEAL HARMONY,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.994175,-35.111316
ACLAIR NO.2,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASILTSTONE,Tapanappa Formation,138.9912,-35.12524
FREEWAY SOUTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,138.980398,-35.113881
